date,station,temperature_f,precipitation_inches,pressure_inhg
2023-01-01,Station_Alpha,52.7,0,30.02
2023-01-01,Station_Beta,51.5,0,30.06
2023-01-01,Station_Delta,52.5,0,30.05
2023-01-01,Station_Gamma,55.4,0,30.02
2023-01-02,Station_Alpha,44.1,0,30.05
2023-01-02,Station_Beta,42,0,30.06
2023-01-02,Station_Delta,41.3,0,30.03
2023-01-02,Station_Gamma,44.5,0,30.03
2023-01-03,Station_Alpha,49.1,0,29.96
2023-01-03,Station_Beta,46.1,0,29.95
2023-01-03,Station_Delta,48.2,0,29.96
2023-01-03,Station_Gamma,45,0,29.92
2023-01-04,Station_Alpha,46.9,0,29.96
2023-01-04,Station_Beta,49.7,0,30
2023-01-04,Station_Delta,47.7,0,30.04
2023-01-04,Station_Gamma,48.4,0,30.01
2023-01-05,Station_Alpha,45.2,0,29.98
2023-01-05,Station_Beta,48.5,0,30.01
2023-01-05,Station_Delta,46.3,0,30.01
2023-01-05,Station_Gamma,45.7,0,29.96
2023-01-06,Station_Alpha,47.1,0,29.89
2023-01-06,Station_Beta,45.5,0,29.93
2023-01-06,Station_Delta,41.5,0,29.93
2023-01-06,Station_Gamma,46.7,0,29.95
2023-01-07,Station_Alpha,53.3,0.86,29.97
2023-01-07,Station_Beta,52.3,0.86,29.99
2023-01-07,Station_Delta,54.2,0.86,30.01
2023-01-07,Station_Gamma,52.9,0.86,30.03
2023-01-08,Station_Alpha,45,0,30
2023-01-08,Station_Beta,46.7,0,30
2023-01-08,Station_Delta,44.8,0,29.99
2023-01-08,Station_Gamma,48.1,0,29.99
2023-01-09,Station_Alpha,59,0,29.97
2023-01-09,Station_Beta,54.1,0,29.98
2023-01-09,Station_Delta,57.7,0,29.99
2023-01-09,Station_Gamma,58.3,0,29.96
2023-01-10,Station_Alpha,43.1,0,29.96
2023-01-10,Station_Beta,45.3,0,30
2023-01-10,Station_Delta,44.5,0,29.97
2023-01-10,Station_Gamma,42.2,0,29.97
2023-01-11,Station_Alpha,54,0,29.93
2023-01-11,Station_Beta,52.3,0,29.91
2023-01-11,Station_Delta,53,0,29.92
2023-01-11,Station_Gamma,51.8,0,29.89
2023-01-12,Station_Alpha,54.4,0,29.98
2023-01-12,Station_Beta,62.5,0,30.01
2023-01-12,Station_Delta,57.7,0,29.99
2023-01-12,Station_Gamma,55.4,0,29.99
2023-01-13,Station_Alpha,35.2,0,30.04
2023-01-13,Station_Beta,36.9,0,30.09
2023-01-13,Station_Delta,40.4,0,30.06
2023-01-13,Station_Gamma,39.6,0,30.07
2023-01-14,Station_Alpha,48.7,0,30.09
2023-01-14,Station_Beta,48,0,30.1
2023-01-14,Station_Delta,44.4,0,30.1
2023-01-14,Station_Gamma,46.1,0,30.11
2023-01-15,Station_Alpha,45,0,29.97
2023-01-15,Station_Beta,48.6,0,29.96
2023-01-15,Station_Delta,48.4,0,30.01
2023-01-15,Station_Gamma,43.5,0,29.98
2023-01-16,Station_Alpha,48,0,30.02
